id,student_id,question_id,topic,subtopic,question_level,answer,date,duration,option_selected
1,36,182,14,,1,0,2019-04-18 00:11:32+00,,
2,36,81,14,,2,0,2019-04-18 00:11:32+00,,
3,36,186,14,,2,1,2019-04-18 00:11:32+00,,
4,36,181,14,,2,0,2019-04-18 00:11:32+00,,
